PUBID,REGION,CENDIV,PUBCLIM,SQFT,WKHRS,NWKER,NGUSED,FKUSED,PRUSED,SOUSED,NGHT1,NGGENR,PCTERM,WBOARDS,FLUOR,OCSN,DIM,MFEXP
6436,1,2,7,188000,80,200,0,1,0,0,0,0,1,1,1,1,0,209692
670,4,9,1,8000,35,3,0,0,1,0,0,0,1,0,0,0,0,11847
1076,3,5,3,108000,80,70,1,1,0,1,1,0,1,1,1,1,0,121511
1574,3,7,5,128000,55,110,1,0,0,0,1,1,1,1,0,0,0,146478
2220,4,8,5,200001,80,60,1,0,0,0,1,1,1,1,1,1,0,248274
2503,3,7,5,20000,60,35,0,0,0,0,0,0,1,0,1,0,0,18230
2588,2,4,2,86000,68,40,1,0,0,0,0,0,1,0,0,1,0,132319
2646,4,8,4,148000,60,125,1,0,0,0,0,0,1,0,1,1,0,69219
2932,4,8,5,18000,65,50,0,0,0,0,0,0,1,1,0,1,0,90121
3153,1,2,2,210000,100,60,1,1,0,0,1,0,1,1,1,1,0,228835
3426,3,5,4,104000,50,76,1,0,0,0,1,0,1,1,1,0,0,110838
3584,4,8,5,3600,35,2,0,0,0,0,0,0,0,1,1,1,0,3166
3845,3,5,3,400000,80,177,0,0,0,1,0,0,1,1,1,1,0,573250
4007,2,3,2,500000,60,150,1,1,0,0,1,0,1,1,1,0,1,342777
4296,4,9,4,2900,30,5,1,0,0,0,1,0,1,0,0,0,0,4904
4914,2,3,2,600000,60,300,1,0,0,1,0,1,1,0,0,1,0,618341
4930,2,4,2,240000,88,147,1,0,0,0,0,0,0,0,1,1,0,234556
5245,3,7,5,455000,60,200,0,0,1,0,0,0,1,1,1,1,0,1524541
5249,4,9,4,2150,35,4,1,0,0,0,1,0,1,0,0,1,0,3498
5993,4,9,1,49000,60,45,0,0,1,0,0,0,1,0,0,1,0,23934
10,1,2,2,220000,80,80,1,0,0,0,1,0,1,1,1,1,0,260970
14,3,7,4,8000,35,3,0,0,0,0,0,0,0,0,1,0,0,6795
17,3,5,4,51000,60,48,1,0,0,0,0,1,1,1,0,1,1,55630
39,3,7,3,50000,45,45,1,0,0,0,0,0,1,1,0,0,0,33674
45,1,2,3,500001,80,400,1,1,0,1,0,0,1,1,1,0,0,661646
53,3,7,3,220000,50,244,1,1,0,0,0,0,1,1,1,1,0,151718
79,4,8,2,1001,45,1,0,0,0,0,0,0,1,0,0,1,1,669
93,4,9,4,65000,40,50,1,0,0,1,1,0,1,1,1,1,0,39442
100,4,8,2,52000,45,45,1,0,0,0,0,0,1,1,0,1,1,41220
170,1,2,3,270000,40,85,1,1,0,0,1,0,1,1,1,0,0,144594
194,3,7,4,27500,50,30,0,0,1,0,0,0,1,1,1,0,0,16107
217,1,2,3,35500,35,16,0,0,0,1,0,0,1,1,1,0,0,44270
223,2,3,2,118000,100,100,1,0,0,0,1,0,1,1,1,0,0,80859
261,1,2,2,138000,40,25,1,0,0,0,1,0,1,1,1,1,1,225420
271,3,7,3,5001,53,12,1,0,0,0,1,0,1,0,1,0,0,10255
295,1,2,3,150000,122,80,1,1,0,0,1,0,1,1,1,1,0,205321
296,2,4,3,130000,40,60,1,0,0,0,1,0,1,1,1,1,0,155654
297,1,2,2,280000,40,220,1,0,0,0,1,0,1,1,1,1,0,174793
298,1,1,2,59000,80,90,0,0,1,0,0,0,1,1,1,1,0,43860
308,1,2,3,82000,50,94,1,0,0,0,1,0,1,1,1,0,0,137468
350,3,6,4,7500,50,7,1,0,0,0,1,0,1,1,1,0,0,9167
363,4,9,2,2700,40,3,0,1,0,0,0,0,1,0,1,0,0,12451
383,3,6,3,182000,65,75,0,0,1,0,0,0,1,1,1,0,0,156105
402,2,3,1,270000,96,200,1,0,0,0,1,0,1,1,1,1,0,171289
408,4,9,4,24500,35,8,1,0,0,0,1,0,1,1,1,0,0,10981
425,4,8,5,3600,60,3,1,0,0,0,1,0,1,0,1,0,0,3120
430,3,7,5,110000,10,155,1,0,0,0,1,0,1,1,1,0,0,29664
511,2,3,1,152000,60,110,1,0,0,0,1,1,1,1,1,1,1,183868
