PUBID,REGION,CENDIV,PUBCLIM,SQFT,WKHRS,NWKER,NGUSED,FKUSED,PRUSED,SOUSED,NGHT1,NGGENR,PCTERM,WBOARDS,FLUOR,OCSN,DIM,MFEXP
5267,4,9,4,19750,60,4,1,0,0,1,1,0,1,0,1,1,1,52365
5286,4,9,1,25000,45,18,0,0,1,0,0,0,1,0,0,1,0,14219
5293,3,6,4,150000,40,40,1,0,0,0,1,0,1,1,1,0,0,121335
5310,4,9,4,3850,40,6,0,0,0,0,0,0,1,1,1,1,0,10496
5314,4,8,5,500000,80,200,1,1,0,0,1,0,1,1,0,1,0,237592
5316,3,7,5,240000,55,700,1,0,0,0,1,0,1,0,1,0,0,286137
5334,3,5,4,92000,45,25,0,0,0,0,0,0,1,1,1,0,0,95433
5359,4,9,4,6700,40,7,1,0,0,0,1,0,1,0,1,1,0,3675
5378,3,7,5,205000,58,110,1,0,0,0,1,0,1,1,1,1,1,178862
5417,1,2,3,265000,76,300,1,1,0,1,0,0,1,1,1,1,0,353953
5442,2,3,3,85000,45,44,1,0,0,0,1,1,1,1,1,1,0,179443
5462,3,7,3,130000,50,85,1,0,0,0,1,0,1,1,1,0,0,106441
5475,3,5,5,200001,68,60,1,0,0,0,0,0,1,1,0,0,0,184695
5545,2,4,2,280000,60,150,1,1,0,0,0,0,1,0,1,1,1,277310
5571,4,9,4,12750,40,23,1,0,0,0,1,0,1,0,1,1,0,8959
5614,2,3,2,106000,70,65,1,0,0,0,1,0,0,1,1,1,0,90979
5628,4,9,5,25000,60,10,0,0,0,0,0,0,1,0,1,0,0,24259
5631,3,7,4,69000,35,45,1,1,0,0,0,0,1,1,1,1,0,68594
5632,2,3,1,140000,60,40,1,0,0,0,1,1,1,1,1,1,1,198910
5820,4,8,2,100000,45,50,1,0,0,0,0,1,1,1,0,1,1,81233
5840,4,8,5,77000,45,70,1,0,0,1,0,0,1,1,1,0,0,43051
5852,3,7,3,66000,65,60,1,0,0,0,1,1,1,1,1,0,0,65388
5858,4,9,3,8800,40,3,0,0,1,0,0,0,1,0,1,0,0,5716
5862,2,3,2,485000,107,110,1,0,0,0,1,0,1,1,1,1,0,830480
5882,2,4,2,410000,85,100,1,0,0,0,1,1,1,0,0,1,0,223646
5915,4,9,4,54000,55,50,1,0,0,0,1,0,1,1,0,1,0,67821
6005,3,7,3,57000,45,62,1,0,0,0,1,0,1,1,1,0,0,41745
6008,3,7,5,8800,60,4,0,0,0,0,0,0,1,0,0,0,0,14160
6046,4,9,4,1900,60,6,0,0,0,0,0,0,1,1,0,1,0,5892
6051,3,7,5,65000,56,80,0,1,0,0,0,0,1,1,1,1,0,78967
6063,1,1,2,8000,60,3,0,0,0,0,0,0,0,0,1,1,1,11981
6080,2,4,1,215000,90,80,1,1,0,1,1,0,1,1,1,1,0,192203
6093,3,7,3,94000,40,70,1,0,0,0,1,0,1,1,1,1,0,47777
6187,1,2,3,30000,50,55,1,0,0,1,1,0,1,0,0,0,0,52107
6249,2,3,3,225000,72,90,1,1,1,0,1,0,1,0,1,1,1,160515
6280,2,3,3,81000,54,49,1,0,0,0,1,0,1,1,0,1,0,88475
6304,3,5,4,41500,40,65,1,0,0,0,0,0,1,1,1,0,0,46798
6306,3,7,5,45500,60,43,0,0,0,0,0,0,0,0,1,0,0,38743
6349,4,9,4,130000,45,65,1,0,0,1,0,0,1,1,1,1,0,80287
6354,1,1,1,80000,72,80,0,1,1,0,0,0,1,1,0,1,1,111774
6375,2,4,2,27000,50,28,1,0,0,0,1,0,1,1,1,0,0,25440
6405,3,5,3,390000,72,172,1,1,0,1,0,0,1,1,1,1,0,333484
331,3,6,4,31000,78,12,0,0,0,0,0,0,1,0,1,0,0,40005
439,2,4,1,140000,66,60,1,0,0,0,1,0,1,0,1,1,1,148900
694,2,4,1,190000,70,75,1,1,0,0,1,0,1,1,1,0,0,146135
1003,1,2,1,28000,45,25,1,0,0,0,1,0,1,1,1,0,0,40877
2445,2,3,2,205000,50,100,1,0,0,0,1,1,1,1,1,1,0,232278
3642,1,2,2,250000,12,135,1,1,0,0,0,0,1,1,0,1,1,409364
4144,2,3,2,3500,60,6,0,0,1,0,0,0,1,0,0,0,0,1674
4798,3,7,4,62000,40,20,1,0,0,0,1,0,1,1,1,1,1,50941
5977,1,1,2,144000,55,22,0,1,1,0,0,0,1,0,1,0,0,75113
358,2,3,1,152000,80,50,1,0,0,0,1,0,1,0,0,0,0,105716
4670,4,9,4,50000,55,20,1,0,0,0,1,0,1,0,0,1,0,113618
6272,4,9,3,102000,72,20,1,0,0,0,0,0,1,0,1,1,1,119741
1285,3,7,4,50000,40,4,1,0,0,0,1,0,1,0,1,0,0,14557
435,4,9,3,76000,65,70,1,0,0,1,1,0,1,0,1,0,0,34453
493,3,6,4,20750,50,13,1,0,0,0,1,0,1,0,1,0,0,30688
666,3,7,4,35500,45,15,1,0,0,0,1,0,1,1,0,0,0,26209
720,4,9,1,4000,10,5,0,0,0,0,0,0,1,0,1,0,0,1022
1629,4,9,2,6700,32,7,0,0,0,0,0,0,1,0,1,0,0,2799
1711,2,3,1,41500,60,15,1,0,0,0,1,0,1,0,1,1,0,21035
1879,3,5,7,92000,100,150,0,0,0,0,0,0,1,1,1,1,0,87138
2211,3,5,3,500000,58,125,1,0,0,0,1,1,1,0,1,0,0,485916
2266,1,2,3,60000,99,80,1,0,0,0,1,1,1,1,1,0,0,79146
2313,2,3,2,2900,12,6,1,0,0,0,1,0,0,0,0,0,0,4911
4026,3,5,4,8500,75,15,0,0,0,0,0,0,1,1,1,1,0,17808
4056,2,4,3,30000,60,4,1,0,0,0,1,0,1,0,1,0,0,28888
4392,3,7,4,8800,48,8,0,0,0,0,0,0,1,0,1,0,0,20438
4655,1,2,2,34000,40,30,1,0,0,0,1,0,1,1,1,0,0,25584
4769,2,4,3,15000,80,20,1,0,0,0,1,0,1,0,1,0,0,10128
4839,4,8,4,7500,4,5,1,0,0,0,1,0,0,0,1,0,0,3133
5550,2,3,2,39500,50,38,1,0,0,0,1,0,1,1,1,0,0,42084
5887,2,3,2,150000,60,100,1,0,0,0,1,0,1,1,1,0,0,142039
6015,3,5,4,53000,105,125,1,0,0,0,1,0,1,1,1,1,1,128651
6085,1,2,2,21000,64,13,0,1,1,0,0,0,1,0,1,0,0,12344
220,3,6,4,8800,84,30,0,0,1,0,0,0,1,1,1,0,0,25799
1166,4,8,1,12000,15,27,1,0,0,0,1,0,1,0,1,0,0,29090
4953,4,9,7,275000,75,100,1,1,0,0,0,0,1,1,1,1,1,465024
3512,2,4,1,30000,60,30,0,0,1,0,0,0,1,1,1,0,0,52129
1848,2,3,3,18250,45,15,0,0,0,0,0,0,1,0,1,0,0,29622
1892,1,2,2,225000,93,200,1,0,0,1,1,0,1,0,1,1,0,220121
2200,2,3,2,110000,8,50,1,0,1,0,1,0,1,1,0,0,0,68672
2384,1,2,2,140000,60,50,1,0,0,0,1,1,1,1,0,1,0,139604
4107,3,5,5,270000,112,200,0,0,1,0,0,0,1,1,1,1,1,103255
4141,4,9,2,31000,48,19,1,0,0,0,1,0,0,0,1,1,0,50059
4171,1,2,3,170000,86,100,1,0,0,0,1,1,1,1,1,1,1,186824
6248,1,2,3,7300,45,17,0,1,0,0,0,0,1,0,1,0,0,11659
6,3,5,3,94000,60,112,1,0,0,0,1,1,1,1,1,0,0,92723
7,4,8,5,41000,50,43,0,0,0,0,0,0,1,1,1,0,0,41661
85,1,2,3,285000,80,200,1,0,0,0,1,0,1,1,1,1,0,404304
88,1,2,3,320000,78,300,1,0,0,0,1,0,1,1,1,1,0,336310
95,4,8,3,19750,55,30,1,0,0,0,1,0,1,0,1,0,0,16900
119,4,8,3,1200,35,5,0,0,0,0,0,0,1,0,1,0,0,1598
138,3,6,4,69000,40,20,1,0,0,0,1,0,1,1,1,1,0,55435
144,1,1,2,310000,50,200,1,0,0,1,1,1,1,1,0,1,0,513791
156,1,1,1,58000,45,80,0,1,1,0,0,0,1,1,1,0,0,90908
177,3,7,5,260000,44,60,1,1,0,0,1,0,1,1,1,1,0,87249
189,4,8,2,50001,45,55,1,0,0,0,1,0,1,1,1,1,1,70929
193,1,2,3,128000,60,117,1,0,0,1,1,1,1,1,1,0,0,198931
210,2,4,1,30000,55,20,1,0,0,0,1,0,1,1,1,0,0,27199
219,2,3,3,77000,68,50,0,1,0,0,0,0,1,1,1,1,0,122665
231,4,8,4,51000,55,50,1,0,0,0,1,0,1,1,1,1,1,25612
234,2,4,1,39000,80,15,0,0,1,0,0,0,1,1,1,0,0,33523
252,1,2,2,106000,55,114,1,0,0,0,1,1,1,1,1,1,0,124751
263,3,7,5,81000,55,50,1,0,0,0,1,0,1,1,1,1,0,103897
265,3,5,3,460000,126,130,1,1,0,0,1,0,0,1,1,0,0,576378
266,4,9,4,49000,50,45,1,0,0,0,1,0,0,0,1,0,0,262312
282,2,3,1,390000,50,130,1,0,0,1,1,0,1,1,1,1,0,176246
286,2,3,2,75000,60,75,1,0,0,0,1,0,1,1,1,1,0,71245
294,4,8,2,240000,60,100,1,0,0,1,1,0,1,1,1,1,0,158783
310,1,2,3,164000,55,250,1,0,0,0,1,0,1,1,1,0,0,271255
318,2,3,2,450000,96,172,1,1,0,0,1,0,1,1,1,1,1,415106
328,2,3,2,156000,50,120,1,0,0,0,1,1,1,1,0,1,0,85841
348,2,3,2,90000,90,65,1,0,0,0,1,0,1,1,1,1,0,108631
368,3,7,4,280000,40,135,1,0,0,0,1,0,1,1,1,1,1,222237
369,4,8,2,49000,60,45,1,0,0,0,1,0,1,0,0,0,0,40646
380,3,5,3,63000,47,65,1,0,0,0,1,0,1,1,1,1,0,94113
396,1,2,1,108000,40,50,1,1,1,0,1,0,1,1,0,1,0,77378
411,2,3,2,67000,60,60,1,0,0,1,1,0,1,1,1,1,0,46880
440,2,3,2,63000,50,32,1,0,0,0,1,0,1,1,1,0,0,59953
444,4,8,2,65000,45,26,1,0,0,0,1,0,1,1,1,0,0,65843
448,3,5,4,54000,45,38,0,0,0,0,0,0,1,1,1,1,0,55624
453,1,2,3,67000,40,38,1,0,0,0,1,0,1,1,1,0,1,87169
458,2,3,2,67000,42,60,1,0,0,0,1,1,1,1,1,1,1,52358
464,2,3,2,215000,50,200,1,0,0,0,1,0,1,1,1,1,1,288569
470,3,5,3,126000,35,110,0,1,1,0,0,0,1,1,1,1,0,270541
488,4,8,4,1200,49,3,1,0,0,0,1,0,1,0,1,0,0,1969
500,3,7,3,375000,70,68,1,1,0,0,1,0,1,1,1,1,0,559013
510,3,5,3,285000,55,244,1,0,0,0,1,0,1,1,1,1,0,415176
513,3,5,4,102000,60,100,1,0,0,0,1,0,1,1,1,0,0,140698
578,2,3,2,48500,40,54,1,0,0,0,1,0,1,1,1,0,0,39655
591,3,5,3,62000,50,38,1,0,0,0,1,0,1,0,1,1,1,21199
596,2,4,1,86000,60,26,0,1,0,0,0,0,1,1,1,0,0,72377
599,1,1,2,124000,86,55,0,1,1,0,0,0,1,1,1,1,1,159805
604,1,2,2,84000,9,125,1,0,0,0,1,0,1,0,1,1,0,72244
615,4,8,2,162000,60,102,1,0,0,0,1,0,1,1,1,0,0,153605
620,2,3,3,144000,40,40,1,0,0,0,1,0,1,0,0,1,1,182283
647,1,2,3,98000,50,65,1,1,0,0,0,0,1,1,1,1,0,102594
653,1,2,1,200001,80,75,1,0,0,0,1,0,1,1,1,1,0,193585
716,3,5,3,65000,50,60,1,1,0,0,1,0,1,1,1,1,0,72070
736,2,3,2,49500,45,17,1,0,0,0,1,1,1,1,1,0,0,49369
743,4,8,2,61000,60,45,1,0,0,0,1,0,1,1,0,0,0,70439
746,1,2,3,325000,100,100,1,1,0,1,1,0,1,1,1,1,1,702955
751,3,5,3,21000,72,15,1,0,0,0,1,0,1,1,0,0,0,34796
756,3,7,5,90000,40,70,1,0,0,0,0,0,1,0,1,0,0,48087
763,2,4,1,168000,85,110,1,1,0,0,1,0,1,1,1,0,0,175111
765,3,6,4,68000,50,52,1,0,0,0,0,0,1,1,0,0,0,73141
768,1,1,2,92000,50,75,1,0,0,0,1,1,1,1,1,0,0,174497
784,3,7,5,166000,60,100,1,0,0,0,1,0,1,1,1,0,0,155723
788,1,2,2,47500,45,47,0,1,1,0,0,0,1,1,0,1,0,71043
790,3,6,4,152000,40,40,1,0,0,0,0,0,1,1,1,1,0,294863
817,1,2,3,70000,40,58,1,0,0,0,0,1,1,1,1,1,0,89190
825,3,5,4,114000,50,85,1,0,0,0,1,1,1,1,1,1,1,138691
839,4,9,3,158000,42,70,1,0,0,0,1,1,1,1,1,1,0,63247
910,3,5,3,172000,50,55,1,0,0,0,1,0,1,1,1,1,1,138908
914,1,2,7,87000,70,75,0,0,0,0,0,0,1,1,1,1,1,119685
958,3,5,3,200001,40,125,1,0,1,0,1,0,1,1,0,1,0,216962
974,1,2,3,250000,40,175,1,0,0,0,1,1,1,1,1,0,0,215734
976,2,4,3,78000,50,44,1,0,0,0,1,0,1,0,0,1,0,98368
985,1,2,2,24500,105,7,1,0,0,0,1,0,1,0,1,0,0,32581
1000,4,8,3,45500,60,50,1,0,0,0,0,0,1,0,1,0,0,21961
1009,4,9,3,250000,35,120,1,0,0,1,0,0,1,0,1,1,1,198855
1015,1,2,7,120000,83,140,1,0,0,0,1,0,1,1,1,1,1,145000
1024,2,3,2,50000,45,30,1,0,0,0,1,0,1,1,1,0,0,46955
1045,3,5,4,93000,60,55,1,0,0,0,1,0,1,1,1,0,0,62526
1049,1,2,3,170000,35,100,1,0,0,1,1,1,1,1,1,1,0,153402
1052,2,3,2,126000,68,125,1,0,0,0,1,0,1,1,1,0,0,157570
1060,4,9,3,245000,35,85,1,0,0,0,1,0,1,0,1,1,1,136573
1065,2,4,2,34000,64,26,1,0,0,0,1,0,1,1,1,0,0,28409
1066,1,2,7,245000,168,250,1,1,0,0,1,0,1,1,1,1,0,421051
1070,2,3,3,58000,60,50,1,0,0,0,1,0,1,1,1,0,0,57271
1079,1,2,3,102000,50,300,1,1,0,0,1,0,1,0,1,1,0,142035
1092,4,8,2,44000,60,48,1,0,0,1,1,0,0,0,1,0,0,43023
1095,1,2,2,108000,45,117,1,1,0,0,1,0,1,1,1,1,0,133854
1111,2,3,1,120000,60,75,1,0,0,0,1,0,1,1,1,1,0,99583
1113,4,8,2,66000,45,44,1,0,0,0,1,0,1,1,1,0,0,42636
1118,3,5,3,188000,50,100,1,0,0,0,1,0,1,1,1,0,0,286227
1122,3,5,3,205000,72,167,1,0,0,0,1,0,1,1,0,0,0,169459
1143,1,2,2,240000,50,504,1,0,0,0,1,0,1,1,1,1,0,212264
1147,3,6,4,265000,50,125,1,0,0,1,1,0,1,1,1,1,0,267598
1148,2,3,2,420000,55,200,1,0,0,0,1,0,1,1,1,1,1,351068
1150,2,3,7,23000,60,6,1,0,0,0,0,0,1,1,0,1,0,23911
1154,4,8,2,280000,50,135,1,0,0,0,0,1,1,1,1,1,0,315365
1155,3,7,5,37000,50,26,1,0,0,0,1,0,1,0,1,1,1,22119
1163,1,2,3,130000,50,120,0,1,0,0,0,0,1,1,1,1,0,202437
1168,1,1,2,82000,45,85,1,1,0,0,1,0,1,1,1,1,1,144181
1178,1,2,3,120000,86,80,1,1,0,0,1,0,1,1,1,1,0,125396
1193,3,7,5,83000,56,80,1,0,0,0,0,0,1,0,1,0,0,69500
1202,4,8,5,12750,43,32,1,0,0,0,0,0,0,0,1,0,0,10003
1204,1,2,2,150000,90,76,0,1,1,0,0,0,1,1,1,1,0,149210
1254,4,9,4,100000,40,30,0,1,0,0,0,0,1,1,1,1,0,115920
1261,1,2,3,420000,80,300,1,1,0,0,0,0,1,1,1,1,0,432467
1280,3,5,3,11750,40,75,1,0,0,0,0,1,1,0,1,0,0,22795
1284,2,3,2,36500,60,25,1,0,0,0,1,0,1,1,1,1,0,35449
1320,3,5,3,69000,75,46,1,0,0,0,1,0,1,1,0,1,0,32619
1357,2,4,1,78000,80,50,1,1,0,0,1,0,1,1,1,1,0,95796
1369,2,3,1,600000,112,350,1,0,0,1,1,0,1,0,1,1,0,584744
1370,3,7,5,325000,45,100,1,0,0,0,0,0,1,0,0,0,0,167226
1424,4,8,4,110000,50,75,1,0,0,0,0,0,1,1,1,1,0,66085
1427,3,5,4,64000,40,40,1,0,0,0,1,0,1,1,1,1,0,57231
1432,1,2,3,142000,40,107,1,0,0,1,1,1,1,1,1,0,0,128611
1436,2,4,1,210000,75,150,1,0,0,0,1,0,1,1,0,1,0,238435
1442,3,5,4,94000,50,85,1,0,0,0,1,1,1,1,1,0,0,61689
1458,2,3,2,68000,60,40,1,0,0,0,1,0,1,1,1,0,1,91151
1466,1,2,3,176000,60,130,1,0,0,1,1,0,1,1,1,0,0,233936
1468,1,1,2,225000,80,200,1,1,0,1,1,0,1,1,1,1,1,423550
1475,1,2,3,148000,80,200,1,0,0,0,1,0,1,1,1,0,0,98027
1478,2,4,3,132000,55,30,1,0,0,0,1,0,1,0,1,1,0,302837
1487,2,4,2,77000,60,85,1,1,0,0,1,0,1,1,1,1,0,113119
1493,2,4,1,350000,60,100,1,1,0,0,1,0,1,1,1,1,0,332497
1504,4,8,2,106000,50,50,1,0,0,0,1,0,1,1,0,1,0,74478
1516,3,7,5,130000,50,65,1,0,0,0,0,0,1,0,1,0,0,142274
1548,2,4,2,150000,40,118,1,0,0,0,1,0,0,0,1,1,0,150753
1563,1,2,3,154000,70,130,1,1,0,0,1,0,1,1,1,1,0,188858
1587,4,8,2,136000,60,109,1,0,0,0,1,0,1,1,1,1,0,161077
1590,3,6,4,200001,45,119,1,0,0,0,1,0,1,0,1,0,0,155863
1603,2,4,1,136000,50,140,1,0,0,0,1,0,1,1,0,1,0,131286
1608,2,4,2,89000,70,100,1,0,0,0,1,0,1,1,1,1,0,108644
1612,1,2,3,116000,45,60,1,0,0,0,1,0,1,0,1,1,0,127877
1628,1,2,3,95000,48,60,1,0,0,0,1,1,1,0,1,0,0,82943
1644,2,3,2,60000,37,60,1,1,0,0,1,0,1,1,1,1,0,68436
1656,3,5,3,72000,40,165,1,0,0,0,1,0,1,0,1,1,0,80141
1677,3,5,3,180000,40,300,1,1,0,0,1,0,1,1,0,1,0,211734
1679,4,9,3,38000,70,19,1,0,0,0,1,0,1,0,1,1,0,18800
1689,2,3,2,79000,46,10,1,0,0,0,1,0,1,1,1,1,0,44555
1690,1,2,3,225000,70,135,1,0,0,0,1,1,1,1,1,1,0,171094
1694,3,7,5,74000,43,58,1,0,0,1,1,0,1,0,1,1,0,67931
1697,3,5,3,102000,35,100,0,1,1,0,0,0,1,1,1,0,0,117546
1698,1,2,2,210000,88,40,1,1,0,0,1,1,1,1,1,1,0,258709
1730,3,5,3,24750,50,15,0,0,0,0,0,0,1,0,1,0,0,44829
1748,1,2,3,295000,45,125,1,1,1,0,1,0,1,1,1,0,0,460087
1757,3,6,3,53000,60,100,0,0,0,0,0,0,1,1,1,1,0,51608
1764,3,7,5,60000,63,51,1,0,0,0,0,0,1,0,1,0,0,45091
1770,1,2,3,91000,66,75,1,1,0,0,0,0,1,1,1,1,0,94783
1771,1,2,3,260000,70,350,1,1,0,0,0,0,1,1,1,0,0,481428
1772,1,1,2,182000,60,504,1,0,0,1,1,1,1,1,0,1,0,188793
1781,3,5,3,91000,60,80,1,0,0,0,1,0,1,1,1,0,0,85804
1792,4,9,4,88000,60,40,1,0,0,0,1,0,1,1,1,0,0,62765
1824,1,2,2,130000,58,109,1,0,0,0,1,1,1,1,1,1,0,149546
1834,2,4,1,194000,50,90,1,1,0,0,1,1,1,1,1,0,0,184140
1852,2,3,2,152000,75,85,1,0,0,0,1,0,1,1,1,0,0,131352
1859,3,5,3,87000,50,75,1,1,0,0,1,0,1,1,1,1,0,114235
1878,3,7,5,285000,65,110,1,0,0,0,1,0,1,1,0,1,0,292109
1899,1,2,3,99000,40,44,1,1,0,0,1,0,1,1,1,0,0,80096
1901,3,5,4,4500,60,12,0,0,0,0,0,0,1,0,1,0,0,7542
1911,1,2,3,130000,40,67,1,1,0,0,1,0,1,1,1,0,0,100671
1933,2,3,3,120000,73,65,1,0,0,0,1,1,1,1,1,1,0,232074
1934,1,2,2,72000,8,50,1,1,0,0,1,0,1,1,1,1,0,53893
1952,1,2,3,134000,50,50,1,0,0,1,1,0,1,1,1,1,0,144229
1954,1,2,3,97000,60,97,1,0,0,0,1,1,1,1,1,1,0,118702
1968,2,3,3,265000,58,147,1,0,0,0,1,0,1,0,1,0,0,147616
1973,2,3,2,250000,96,130,1,1,0,0,1,0,1,1,1,1,1,149563
1982,2,3,2,57000,58,68,1,0,0,0,1,0,1,1,0,0,0,47384
2014,3,5,3,350000,60,160,1,0,0,0,1,0,1,1,1,0,0,414089
2031,1,2,3,164000,100,125,1,1,0,0,1,0,1,0,1,1,0,355745
2032,2,3,3,140000,50,60,1,0,0,0,1,0,1,1,1,1,0,145120
2044,1,2,3,405000,60,238,1,0,0,0,1,0,1,1,1,1,1,441563
2048,3,5,3,215000,45,110,1,0,0,0,0,1,1,1,1,1,0,284674
2052,2,3,2,144000,97,100,1,0,0,0,1,0,1,0,0,1,1,147536
2054,1,2,3,182000,84,130,1,1,0,0,0,0,1,1,1,1,0,180950
2055,1,1,2,160000,64,135,1,0,0,1,1,0,1,1,1,1,0,243378
2073,3,7,5,365000,68,300,1,0,0,0,1,0,1,1,1,1,1,431738
2088,4,9,5,8800,60,2,0,0,0,0,0,0,1,0,1,0,0,9121
2131,1,2,2,174000,90,60,1,0,0,0,1,1,1,1,1,0,0,149725
2132,2,3,2,900000,96,550,1,0,0,1,1,1,1,1,1,1,0,672140
2136,3,7,5,94000,45,75,1,0,0,0,1,0,1,1,1,0,0,162990
2142,3,5,5,124000,60,40,0,0,1,0,0,0,1,1,1,1,0,83384
2148,2,4,3,37000,60,27,1,0,0,0,0,0,0,0,1,0,0,20105
2151,1,2,3,44000,50,100,1,1,0,0,1,0,1,1,1,0,0,58965
2165,2,3,2,59000,77,40,1,0,0,0,1,0,1,1,0,1,1,40864
2176,1,2,2,300000,75,175,1,0,0,0,1,0,1,1,1,1,1,273999
2191,3,6,4,4100,35,9,0,0,0,0,0,0,1,1,0,0,0,4523
2219,3,5,4,1250,60,5,1,0,0,0,1,0,0,0,1,0,0,3314
2249,3,5,4,108000,40,70,1,1,0,0,1,0,1,1,1,0,1,100823
2254,4,9,2,41500,40,17,0,0,0,0,0,0,1,1,1,0,0,25569
2261,1,2,3,80000,45,100,1,1,0,0,1,0,1,1,1,1,0,67324
2309,2,3,2,250000,108,150,1,0,0,0,1,1,1,0,1,1,0,198253
2310,3,5,3,150000,73,40,1,1,0,0,0,0,1,0,1,0,0,149900
2340,2,3,3,215000,40,246,1,0,0,0,1,1,1,1,1,1,0,290933
2344,1,2,3,57000,40,63,1,1,0,0,0,0,1,1,1,0,0,60328
2378,4,8,2,240000,102,145,1,0,0,1,1,0,1,1,1,0,0,287125
2386,4,9,3,158000,80,75,1,0,0,0,1,0,1,0,1,1,0,120064
2397,2,3,2,40500,45,55,1,0,0,0,1,0,1,1,1,1,0,75414
2413,1,2,3,80000,66,100,1,1,0,0,0,0,1,1,0,1,0,79585
2433,2,3,2,300000,100,156,1,0,0,0,1,1,1,1,0,0,0,364329
2449,1,2,3,500001,98,250,1,0,0,0,0,1,1,1,1,1,0,1039518
2452,2,4,1,56000,60,50,1,0,0,0,1,0,1,0,1,0,0,58905
2460,3,7,5,156000,50,105,1,0,0,0,1,0,1,0,1,1,1,116475
2470,2,4,3,86000,50,40,1,0,0,0,1,0,1,0,1,0,0,98088
2473,2,3,3,2400,60,7,0,0,0,0,0,0,1,0,0,1,0,4467
2489,3,7,5,63000,60,40,0,0,0,0,0,0,1,0,1,0,0,42537
2498,1,1,2,110000,38,102,1,0,0,0,1,0,1,1,0,1,0,82455
2505,1,2,2,250000,96,100,0,1,1,1,0,0,1,1,1,0,0,391516
2524,2,4,3,150000,40,90,1,0,0,1,1,0,1,1,0,1,1,193362
2532,2,3,2,22000,45,5,1,0,0,0,1,0,1,0,1,1,0,18351
2535,2,3,3,35500,55,52,1,0,0,0,0,0,1,1,1,1,0,47720
2553,3,7,5,87000,60,75,1,0,0,0,0,0,1,1,1,1,0,46554
2557,4,8,5,104000,45,96,1,0,0,0,0,0,1,1,1,0,0,158938
2572,3,5,4,70000,60,100,1,0,0,0,1,1,1,1,1,1,0,73491
2585,2,4,3,295000,55,60,1,0,0,0,1,0,1,1,1,1,1,369249
2586,2,4,3,305000,50,150,0,0,0,1,0,0,1,0,1,1,0,314505
2613,4,8,3,63000,40,53,1,0,0,0,1,0,1,1,1,1,0,59551
2618,3,5,4,425000,75,246,1,0,0,0,1,1,1,1,1,0,0,160202
2622,3,7,4,8800,40,6,1,0,0,0,0,0,1,0,0,0,0,11189
2639,3,5,4,150000,55,84,0,0,1,0,0,0,1,1,1,1,0,111566
2643,3,7,3,156000,60,90,1,0,0,0,1,1,1,1,1,0,0,153990
2649,4,8,4,67000,50,40,1,0,0,0,1,0,1,0,0,1,0,37842
2650,3,5,4,340000,112,140,1,0,0,0,1,0,1,0,1,1,0,147593
2657,3,7,3,65000,40,75,1,0,0,0,1,1,1,1,0,1,0,58527
2691,4,8,2,58000,60,60,1,0,0,0,0,0,1,0,1,1,0,58957
2722,1,2,3,152000,55,121,1,1,0,0,1,0,1,0,1,0,0,120517
2723,1,2,2,102000,91,250,1,0,0,0,1,1,1,0,1,1,0,269450
2774,2,4,1,305000,83,130,1,0,0,0,1,1,1,1,0,1,1,289272
2783,3,7,5,84000,84,50,0,1,0,0,0,0,1,1,1,1,0,104948
2796,2,3,2,64000,40,54,1,0,0,0,1,0,1,1,0,1,0,64533
2818,1,1,2,75000,75,100,1,0,0,1,1,0,1,1,1,1,0,96395
2829,2,4,1,265000,90,100,1,1,0,1,1,0,1,1,1,1,0,274812
2830,3,7,4,80000,50,45,1,0,0,0,1,0,1,1,1,1,0,50811
2848,4,8,5,78000,55,50,0,0,0,0,0,0,0,1,1,0,0,34199
2858,2,3,1,158000,60,125,1,0,0,0,1,1,1,1,1,1,0,183440
2859,3,7,5,1500,55,4,0,0,0,0,0,0,1,0,1,1,0,1788
2864,1,2,3,33000,55,50,1,1,0,0,0,0,1,1,1,1,0,52806
2869,3,5,4,87000,40,80,1,0,0,0,0,0,1,1,1,0,0,114340
2885,3,5,7,8800,40,6,0,0,0,0,0,0,1,0,1,1,0,10796
2906,2,3,1,122000,108,85,1,0,0,0,1,0,1,1,1,1,0,124356
2926,3,5,4,250000,60,100,1,0,0,0,0,1,1,1,1,1,1,276478
2931,1,2,3,68000,50,87,1,0,0,1,1,0,1,0,1,1,0,94119
2954,4,8,2,140000,45,35,1,1,0,0,1,0,1,1,1,0,0,112265
2977,2,4,2,61000,40,52,1,0,0,0,0,0,0,0,0,1,1,111962
2982,2,3,2,8800,60,6,1,0,0,0,1,1,1,0,1,0,0,9179
3012,2,4,2,4000,60,9,0,0,1,0,0,0,1,0,1,0,0,3463
3014,2,4,1,225000,84,300,1,1,0,1,1,0,1,1,1,1,1,298729
3023,3,6,7,40000,90,25,1,0,0,0,1,0,1,0,1,0,0,69234
3039,1,2,3,102000,40,80,1,0,0,0,1,1,1,1,1,0,0,100244
3066,3,7,5,455000,73,222,1,0,0,0,1,0,1,1,1,1,0,569412
3085,3,7,5,68000,40,75,1,0,0,0,1,0,1,1,1,0,0,25340
3087,3,7,5,114000,55,76,1,0,0,0,1,0,1,1,1,1,1,82870
3103,3,5,5,280000,70,150,1,1,1,0,0,0,1,1,1,1,0,408669
3111,1,2,1,85000,50,58,1,0,0,0,1,0,1,1,0,1,0,106520
3124,1,1,2,250000,90,130,0,1,1,1,0,0,1,1,1,1,0,315237
